# kx	kx_over_pi	mode0	mode1	mode2	mode3	mode4	mode5	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1
2.1232290775e-01	6.7584480601e-02	0.000000000000e+00	9.428340830699e-05	4.679089171932e-04	4.727534918222e-03	4.889365590671e-03	5.114859058309e-03	0.00000000	10.34640814	51.34706856	518.78699172	536.54585531	561.29090315
2.1625481345e-01	6.8836045056e-02	0.000000000000e+00	9.968974754652e-05	4.704635105462e-04	4.727553327502e-03	4.889695986684e-03	5.114847354730e-03	0.00000000	10.93968530	51.62740277	518.78901190	536.58211208	561.28961883
2.2018671915e-01	7.0087609512e-02	0.000000000000e+00	1.049081425964e-04	4.730500643144e-04	4.727572057972e-03	4.890032326675e-03	5.114835435885e-03	0.00000000	11.51233796	51.91124424	518.79106733	536.61902113	561.28831089
2.2411862485e-01	7.1339173967e-02	0.000000000000e+00	1.099652897678e-04	4.756680174023e-04	4.727591108743e-03	4.890374604228e-03	5.114823301748e-03	0.00000000	12.06729572	52.19853139	518.79315791	536.65658175	561.28697932
2.2805053055e-01	7.2590738423e-02	0.000000000000e+00	1.148824235416e-04	4.783168140433e-04	4.727610478907e-03	4.890722812813e-03	5.114810952293e-03	0.00000000	12.60688878	52.48920322	518.79528354	536.69479322	561.28562412
2.3198243625e-01	7.3842302879e-02	0.000000000000e+00	1.196767426840e-04	4.809959040154e-04	4.727630167542e-03	4.891076945792e-03	5.114798387494e-03	0.00000000	13.13300449	52.78319936	518.79744412	536.73365482	561.28424530
2.3591434195e-01	7.5093867334e-02	0.000000000000e+00	1.243623926164e-04	4.837047428373e-04	4.727650173714e-03	4.891436996411e-03	5.114785607324e-03	0.00000000	13.64719514	53.08046006	518.79963955	536.77316581	561.28284284
2.3984624765e-01	7.6345431790e-02	0.000000000000e+00	1.289511616629e-04	4.864427919473e-04	4.727670496471e-03	4.891802957808e-03	5.114772611756e-03	0.00000000	14.15075433	53.38092622	518.80186971	536.81332543	561.28141674
2.4377815334e-01	7.7596996245e-02	0.000000000000e+00	1.334529866748e-04	4.892095188645e-04	4.727691134847e-03	4.892174823008e-03	5.114759400764e-03	0.00000000	14.64477253	53.68453941	518.80413451	536.85413292	561.27996700
2.4771005904e-01	7.8848560701e-02	0.000000000000e+00	1.378763280422e-04	4.920043973337e-04	4.727712087863e-03	4.892552584925e-03	5.114745974319e-03	0.00000000	15.13017814	53.99124187	518.80643384	536.89558750	561.27849362
2.5164196474e-01	8.0100125156e-02	0.000000000000e+00	1.422284530004e-04	4.948269074540e-04	4.727733354524e-03	4.892936236362e-03	5.114732332396e-03	0.00000000	15.60776865	54.30097655	518.80876758	536.93768838	561.27699659
2.5557387044e-01	8.1351689612e-02	0.000000000000e+00	1.465156531600e-04	4.976765357926e-04	4.727754933820e-03	4.893325770011e-03	5.114718474966e-03	0.00000000	16.07823448	54.61368712	518.81113564	536.98043476	561.27547591
2.5950577614e-01	8.2603254068e-02	0.000000000000e+00	1.507434139581e-04	5.005527754838e-04	4.727776824729e-03	4.893721178454e-03	5.114704402001e-03	0.00000000	16.54217760	54.92931794	518.81353789	537.02382582	561.27393158
2.6343768184e-01	8.3854818523e-02	0.000000000000e+00	1.549165483708e-04	5.034551263143e-04	4.727799026213e-03	4.894122454163e-03	5.114690113475e-03	0.00000000	17.00012617	55.24781413	518.81597422	537.06786074	561.27236360
2.6736958754e-01	8.5106382979e-02	0.000000000000e+00	1.590393036548e-04	5.063830947957e-04	4.727821537220e-03	4.894529589499e-03	5.114675609359e-03	0.00000000	17.45254627	55.56912153	518.81844452	537.11253868	561.27077195
2.7130149324e-01	8.6357947434e-02	0.000000000000e+00	1.631154474595e-04	5.093361942236e-04	4.727844356682e-03	4.894942576714e-03	5.114660889625e-03	0.00000000	17.89985135	55.89318673	518.82094866	537.15785879	561.26915665
2.7523339894e-01	8.7609511890e-02	0.000000000000e+00	1.671483379600e-04	5.123139447261e-04	4.727867483521e-03	4.895361407950e-03	5.114645954245e-03	0.00000000	18.34240993	56.21995708	518.82348654	537.20382020	561.26751768
2.7916530464e-01	8.8861076345e-02	0.000000000000e+00	1.711409814779e-04	5.153158732999e-04	4.727890916640e-03	4.895786075238e-03	5.114630803191e-03	0.00000000	18.78055191	56.54938066	518.82605803	537.25042205	561.26585505
2.8309721034e-01	9.0112640801e-02	0.000000000000e+00	1.750960801999e-04	5.183415138371e-04	4.727914654933e-03	4.896216570503e-03	5.114615436436e-03	0.00000000	19.21457383	56.88140633	518.82866300	537.29766344	561.26416874
2.8702911604e-01	9.1364205257e-02	0.000000000000e+00	1.790160719888e-04	5.213904071412e-04	4.727938697275e-03	4.896652885558e-03	5.114599853950e-03	0.00000000	19.64474320	57.21598370	518.83130135	537.34554349	561.26245876
2.9096102173e-01	9.2615769712e-02	0.000000000000e+00	1.829031638213e-04	5.244621009339e-04	4.727963042531e-03	4.897095012109e-03	5.114584055705e-03	0.00000000	20.07130223	57.55306313	518.83397293	537.39406127	561.26072510
2.9489292743e-01	9.3867334168e-02	0.000000000000e+00	1.867593600515e-04	5.275561498538e-04	4.727987689551e-03	4.897542941754e-03	5.114568041674e-03	0.00000000	20.49447085	57.89259576	518.83667763	537.44321586	561.25896777
2.9882483313e-01	9.5118898623e-02	0.000000000000e+00	1.905864864394e-04	5.306721154458e-04	4.728012637171e-03	4.897996665981e-03	5.114551811829e-03	0.00000000	20.91444943	58.23453346	518.83941531	537.49300634	561.25718675
3.0275673883e-01	9.6370463079e-02	0.000000000000e+00	1.943862106899e-04	5.338095661439e-04	4.728037884213e-03	4.898456176171e-03	5.114535366140e-03	0.00000000	21.33142097	58.57882887	518.84218586	537.54343176	561.25538204
3.0668864453e-01	9.7622027534e-02	0.000000000000e+00	1.981600600998e-04	5.369680772463e-04	4.728063429485e-03	4.898921463597e-03	5.114518704581e-03	0.00000000	21.74555307	58.92543540	518.84498913	537.59449115	561.25355365
3.1062055023e-01	9.8873591990e-02	0.000000000000e+00	2.019094367891e-04	5.401472308843e-04	4.728089271784e-03	4.899392519425e-03	5.114501827122e-03	0.00000000	22.15699960	59.27430719	518.84782499	537.64618355	561.25170156
3.1455245593e-01	1.0012515645e-01	0.000000000000e+00	2.056356309094e-04	5.433466159843e-04	4.728115409890e-03	4.899869334713e-03	5.114484733737e-03	0.00000000	22.56590214	59.62539912	518.85069332	537.69850798	561.24982578
3.1848436163e-01	1.0137672090e-01	0.000000000000e+00	2.093398321426e-04	5.465658282251e-04	4.728141842573e-03	4.900351900413e-03	5.114467424396e-03	0.00000000	22.97239124	59.97866683	518.85359397	537.75146345	561.24792630
3.2241626733e-01	1.0262828536e-01	0.000000000000e+00	2.130231397528e-04	5.498044699892e-04	4.728168568587e-03	4.900840207369e-03	5.114449899073e-03	0.00000000	23.37658753	60.33406669	518.85652681	537.80504894	561.24600311
3.2634817303e-01	1.0387984981e-01	0.000000000000e+00	2.166865714054e-04	5.530621503097e-04	4.728195586673e-03	4.901334246320e-03	5.114432157740e-03	0.00000000	23.77860269	60.69155578	518.85949170	537.85926345	561.24405623
3.3028007873e-01	1.0513141427e-01	0.000000000000e+00	2.203310709313e-04	5.563384848127e-04	4.728222895561e-03	4.901834007897e-03	5.114414200370e-03	0.00000000	24.17854029	61.05109193	518.86248850	537.91410594	561.24208563
