# temperature_K	g_x_W_per_K	g_y_W_per_K	g_z_W_per_K	gA_x_W_per_m2K	gA_y_W_per_m2K	gA_z_W_per_m2K
134.00000000	5.531486448203e-11	5.600170619348e-11	4.627859567278e-11	7.517064557085e+08	7.610403545327e+08	6.182611569182e+08
136.00000000	5.596408367630e-11	5.665336449013e-11	4.676790972463e-11	7.605290798634e+08	7.698961250944e+08	6.247981718685e+08
138.00000000	5.660472993124e-11	5.729638026377e-11	4.724836846685e-11	7.692352012680e+08	7.786344472922e+08	6.312168838777e+08
140.00000000	5.723703055996e-11	5.793098365190e-11	4.772024931109e-11	7.778279090150e+08	7.872584486005e+08	6.375209990405e+08
142.00000000	5.786119371293e-11	5.855738549098e-11	4.818381390340e-11	7.863100317843e+08	7.957709942014e+08	6.437140128297e+08
144.00000000	5.847740998357e-11	5.917577892881e-11	4.863930905068e-11	7.946841596627e+08	8.041747088943e+08	6.497992224744e+08
146.00000000	5.908585393947e-11	5.978634096210e-11	4.908696762915e-11	8.029526649528e+08	8.124719979925e+08	6.557797390956e+08
148.00000000	5.968668557362e-11	6.038923389399e-11	4.952700946768e-11	8.111177218939e+08	8.206650671294e+08	6.616584995080e+08
150.00000000	6.028005167240e-11	6.098460670796e-11	4.995964220076e-11	8.191813252531e+08	8.287559409300e+08	6.674382776146e+08
152.00000000	6.086608709863e-11	6.157259635671e-11	5.038506208706e-11	8.271453077612e+08	8.367464805252e+08	6.731216953428e+08
154.00000000	6.144491598942e-11	6.215332896545e-11	5.080345479083e-11	8.350113563909e+08	8.446383999056e+08	6.787112330829e+08
156.00000000	6.201665286972e-11	6.272692095078e-11	5.121499612429e-11	8.427810274894e+08	8.524332811252e+08	6.842092396072e+08
158.00000000	6.258140368325e-11	6.329348005667e-11	5.161985275013e-11	8.504557607888e+08	8.601325883807e+08	6.896179414540e+08
160.00000000	6.313926674340e-11	6.385310631016e-11	5.201818284360e-11	8.580368923282e+08	8.677376809986e+08	6.949394517729e+08
162.00000000	6.369033360701e-11	6.440589289970e-11	5.241013671446e-11	8.655256663273e+08	8.752498253720e+08	7.001757786350e+08
164.00000000	6.423468987431e-11	6.495192697953e-11	5.279585738958e-11	8.729232460587e+08	8.826702058916e+08	7.053288328143e+08
166.00000000	6.477241591895e-11	6.549129040379e-11	5.317548115683e-11	8.802307237673e+08	8.899999349216e+08	7.104004350556e+08
168.00000000	6.530358755160e-11	6.602406039412e-11	5.354913807184e-11	8.874491296894e+08	8.972400618729e+08	7.153923228431e+08
