# meta_json: {"atom_symbols": ["B", "B", "B", "B", "B"], "lattice_vectors_override_angstrom": [[5.112337165743099, 0.0, 0.0], [0.0, 2.953769159320898, 0.0], [0.0, 0.0, 15.000000297369095]], "lattice_vectors_raw": [[1.0, 0.0, 0.0], [0.0, 0.577738741, 0.0], [0.0, 0.0, 2.934079958]], "source_format": "qe_q2r_fc", "thickness_angstrom": 2.7, "thickness_direction": 3, "transport_direction": 1, "transverse_area_m2": 7.975176730166427e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
3.8962852782e-03	12.81816280	427.56788756	1.332824745864e+00	1.671216564797e+19
3.9868965637e-03	13.11625961	437.51132681	1.237444022855e+00	1.551619562454e+19
4.0775078493e-03	13.41435642	447.45476605	1.618391328140e+00	2.029285848950e+19
4.1681191348e-03	13.71245323	457.39820530	1.569497671911e+00	1.967978547703e+19
4.2587304204e-03	14.01055003	467.34164454	9.996349432549e-01	1.253432967164e+19
4.3493417059e-03	14.30864684	477.28508379	1.284476624366e+00	1.610593304481e+19
4.4399529914e-03	14.60674365	487.22852303	9.036539735225e-01	1.133083321031e+19
4.5305642770e-03	14.90484046	497.17196228	7.103094297741e-01	8.906503941001e+18
4.6211755625e-03	15.20293727	507.11540152	7.135168019883e-01	8.946720883179e+18
4.7117868481e-03	15.50103408	517.05884077	8.564354057497e-01	1.073876397635e+19
4.8023981336e-03	15.79913089	527.00228002	8.566088797239e-01	1.074093915040e+19
4.8930094191e-03	16.09722770	536.94571926	8.090706000819e-01	1.014486107902e+19
4.9836207047e-03	16.39532451	546.88915851	6.184196187682e-01	7.754306138810e+18
5.0742319902e-03	16.69342132	556.83259775	3.329768665425e-01	4.175165990779e+18
5.1648432758e-03	16.99151813	566.77603700	2.853939776461e-01	3.578528568108e+18
5.2554545613e-03	17.28961494	576.71947624	9.511304446537e-02	1.192613627051e+18
5.3460658468e-03	17.58771175	586.66291549	2.856036690054e-01	3.581157868579e+18
5.4366771324e-03	17.88580855	596.60635473	2.856445118726e-01	3.581669993496e+18
5.5272884179e-03	18.18390536	606.54979398	4.759869266242e-01	5.968355846257e+18
5.6178997034e-03	18.48200217	616.49323323	7.614544545325e-01	9.547806654268e+18
5.7085109890e-03	18.78009898	626.43667247	8.090594966403e-01	1.014472185400e+19
5.7991222745e-03	19.07819579	636.38011172	1.094742574642e+00	1.372687542460e+19
5.8897335601e-03	19.37629260	646.32355096	9.989023796433e-01	1.252514412458e+19
5.9803448456e-03	19.67438941	656.26699021	8.088679242422e-01	1.014231974550e+19
6.0709561311e-03	19.97248622	666.21042945	6.189233214216e-01	7.760622019578e+18
6.1615674167e-03	20.27058303	676.15386870	8.092914308445e-01	1.014763005544e+19
6.2521787022e-03	20.56867984	686.09730795	9.996351647860e-01	1.253433244940e+19
6.3427899878e-03	20.86677665	696.04074719	6.189246072195e-01	7.760638142079e+18
6.4334012733e-03	21.16487346	705.98418644	9.990346037392e-01	1.252680207023e+19
6.5240125588e-03	21.46297027	715.92762568	8.566593648018e-01	1.074157217810e+19
6.6146238444e-03	21.76106707	725.87106493	6.659868765894e-01	8.350747564881e+18
6.7052351299e-03	22.05916388	735.81450417	8.565458687810e-01	1.074014906204e+19
6.7958464155e-03	22.35726069	745.75794342	5.712746573035e-01	7.163159847514e+18
6.8864577010e-03	22.65535750	755.70138266	9.992832386784e-01	1.252991968063e+19
6.9770689865e-03	22.95345431	765.64482191	1.285180867980e+00	1.611476349005e+19
7.0676802721e-03	23.25155112	775.58826116	1.665482946190e+00	2.088333591267e+19
7.1582915576e-03	23.54964793	785.53170040	1.237367251215e+00	1.551523299208e+19
7.2489028432e-03	23.84774474	795.47513965	8.565302867832e-01	1.073995368082e+19
7.3395141287e-03	24.14584155	805.41857889	7.584608823025e-01	9.510270530227e+18
7.4301254142e-03	24.44393836	815.36201814	4.759681053591e-01	5.968119848162e+18
7.5207366998e-03	24.74203517	825.30545738	4.758193999280e-01	5.966255244578e+18
7.6113479853e-03	25.04013198	835.24889663	1.903136649961e-01	2.386325362249e+18
7.7019592709e-03	25.33822879	845.19233587	1.903264601400e-01	2.386485799369e+18
7.7925705564e-03	25.63632559	855.13577512	6.659770614965e-01	8.350624494344e+18
7.8831818419e-03	25.93442240	865.07921437	5.228328668782e-01	6.555752738376e+18
