# idx	kdist	kx	ky	kz	mode0	mode1	mode2	mode3	mode4	mode5	mode6	mode7	mode8	mode9	mode10	mode11	mode12	mode13	mode14	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1	mode6_cm1	mode7_cm1	mode8_cm1	mode9_cm1	mode10_cm1	mode11_cm1	mode12_cm1	mode13_cm1	mode14_cm1
501	1.3350408780e+01	2.5871939500e+00	2.5871939500e+00	0.0000000000e+00	1.508555702343e-03	1.696415761655e-03	3.014051175725e-03	3.578854614147e-03	3.873488932527e-03	3.927803921672e-03	4.896179587740e-03	5.543776625025e-03	5.935412210709e-03	6.937058347098e-03	7.337334780761e-03	8.312901208168e-03	9.200026712983e-03	9.548133669884e-03	9.961958558201e-03	165.54485333	186.16011196	330.75388535	392.73389857	425.06627778	431.02665889	537.29360505	608.35916557	651.33620347	761.25416174	805.17942310	912.23546411	1009.58623568	1047.78655870	1093.19859111
502	1.3387743931e+01	2.5607940117e+00	2.5607940117e+00	0.0000000000e+00	1.490814609084e-03	1.697156569135e-03	3.027685620760e-03	3.579937859367e-03	3.860651094480e-03	3.958573193682e-03	4.904324240083e-03	5.563954609369e-03	5.936946735267e-03	6.924995232146e-03	7.314836357414e-03	8.294938264479e-03	9.209021856440e-03	9.558184003110e-03	9.975726605692e-03	163.59799338	186.24140619	332.25009275	392.85277099	423.65748789	434.40319620	538.18737734	610.57344341	651.50459807	759.93038788	802.71050651	910.26425889	1010.57333858	1048.88945529	1094.70945968
503	1.3425079081e+01	2.5343940735e+00	2.5343940735e+00	0.0000000000e+00	1.473557304271e-03	1.699928986276e-03	3.041606001325e-03	3.580410873884e-03	3.847144916954e-03	3.989203783651e-03	4.913338059186e-03	5.584094991845e-03	5.938169399118e-03	6.911754087132e-03	7.291906032099e-03	8.276993163689e-03	9.217573013003e-03	9.568007649172e-03	9.988897322673e-03	161.70422307	186.54564380	333.77767795	392.90467834	422.17535623	437.76451493	539.17652965	612.78359492	651.63876992	758.47734017	800.19419417	908.29501170	1011.51171955	1049.96747584	1096.15477881
504	1.3462414232e+01	2.5079941352e+00	2.5079941352e+00	0.0000000000e+00	1.456705262922e-03	1.704560107800e-03	3.055770844251e-03	3.580406436809e-03	3.832962000983e-03	4.019588699657e-03	4.923159618178e-03	5.604097339697e-03	5.939052029425e-03	6.897502498580e-03	7.268556748489e-03	8.259044591784e-03	9.225769870473e-03	9.577487745448e-03	1.000146799868e-02	159.85492529	187.05385065	335.33208979	392.90419143	420.61896110	441.09887405	540.25432117	614.97859888	651.73562740	756.91340910	797.63190646	906.32538360	1012.41122068	1051.00779616	1097.53425105
505	1.3499749383e+01	2.4815941970e+00	2.4815941970e+00	0.0000000000e+00	1.440157797632e-03	1.710860013638e-03	3.070132868703e-03	3.580024907435e-03	3.818093901613e-03	4.049659582781e-03	4.933719487667e-03	5.623844313975e-03	5.939570361572e-03	6.882422085965e-03	7.244799732759e-03	8.241098684347e-03	9.233692861867e-03	9.586514262987e-03	1.001345240055e-02	158.03905087	187.74518540	336.90813980	392.86232342	418.98737578	444.39877204	541.41313290	617.14557883	651.79250778	755.25852510	795.02487533	904.35604789	1013.28066849	1051.99834197	1098.84938714
506	1.3537084534e+01	2.4551942587e+00	2.4551942587e+00	0.0000000000e+00	1.423803401279e-03	1.718622324677e-03	3.084639864317e-03	3.579344949219e-03	3.802532341109e-03	4.079372787903e-03	4.944941861310e-03	5.643195696554e-03	5.939708907279e-03	6.866702977445e-03	7.220648472389e-03	8.223188398689e-03	9.241411019925e-03	9.594987388323e-03	1.002487856448e-02	156.24436332	188.59700058	338.50009856	392.78770663	417.27969191	447.65941941	542.64464606	619.26914761	651.80771142	753.53355233	792.37458084	902.39062122	1014.12763844	1052.92816000	1100.10326370
507	1.3574419684e+01	2.4287943204e+00	2.4287943204e+00	0.0000000000e+00	1.407528079401e-03	1.727627767773e-03	3.099235843136e-03	3.578430860095e-03	3.786269461625e-03	4.108699276935e-03	4.956746108206e-03	5.661980267282e-03	5.939468632821e-03	6.850538503349e-03	7.196123012195e-03	8.205371304025e-03	9.248980488338e-03	9.602820257906e-03	1.003578633188e-02	154.45835318	189.58523373	340.10182209	392.68739694	415.49504717	450.87762959	543.94001243	621.33051597	651.78134434	751.75970633	789.68322267	900.43542108	1014.95829158	1053.78771808	1101.30025282
508	1.3611754835e+01	2.4023943822e+00	2.4023943822e+00	0.0000000000e+00	1.391221325343e-03	1.737649557222e-03	3.113862387267e-03	3.577337517399e-03	3.769298146183e-03	4.137617362558e-03	4.969048190297e-03	5.679984689126e-03	5.938878397363e-03	6.834120045305e-03	7.171254413530e-03	8.187726027819e-03	9.256443667760e-03	9.609940989701e-03	1.004622472803e-02	152.66889376	190.68499801	341.70689978	392.56741645	413.63266057	454.05102269	545.29000990	623.30627290	651.71657349	749.95798882	786.95420941	898.49907583	1015.77728086	1054.56912807	1102.44573439
509	1.3649089986e+01	2.3759944439e+00	2.3759944439e+00	0.0000000000e+00	1.374780302248e-03	1.748459578120e-03	3.128460101542e-03	3.576113655799e-03	3.751612396325e-03	4.166107645003e-03	4.981761892085e-03	5.696938597831e-03	5.938011045148e-03	6.817631896365e-03	7.146089264888e-03	8.170347653288e-03	9.263828948425e-03	9.616294001824e-03	1.005624928179e-02	150.86470002	191.87126068	343.30881376	392.43311316	411.69187385	457.17746980	546.68517740	625.16674933	651.62139258	748.14862361	784.19265355	896.59201966	1016.58772174	1055.26629057	1103.54580201
510	1.3686425137e+01	2.3495945056e+00	2.3495945056e+00	0.0000000000e+00	1.358112674111e-03	1.759834595407e-03	3.142970077274e-03	3.574803972475e-03	3.733207741085e-03	4.194149687192e-03	4.994799822476e-03	5.712495872459e-03	5.937004233261e-03	6.801245945481e-03	7.120694174151e-03	8.153342394878e-03	9.271150967103e-03	9.621840639357e-03	1.006591938107e-02	149.03563925	193.11952454	344.90109955	392.28939203	409.67219639	460.25472824	548.11592489	626.87396289	651.51090775	746.35047335	781.40586446	894.72590825	1017.39122041	1055.87496368	1104.60697275
