# kx	kx_over_pi	mode0	mode1	mode2	mode3	mode4	mode5	mode6	mode7	mode8	mode9	mode10	mode11	mode12	mode13	mode14	mode15	mode16	mode17	mode18	mode19	mode20	mode21	mode22	mode23	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1	mode6_cm1	mode7_cm1	mode8_cm1	mode9_cm1	mode10_cm1	mode11_cm1	mode12_cm1	mode13_cm1	mode14_cm1	mode15_cm1	mode16_cm1	mode17_cm1	mode18_cm1	mode19_cm1	mode20_cm1	mode21_cm1	mode22_cm1	mode23_cm1
2.7995168578e+00	8.9111389237e-01	4.645372671072e-04	5.264778834777e-04	5.973439327757e-04	6.560640933279e-04	8.984239522022e-04	1.092965486059e-03	1.430214283767e-03	1.457828094168e-03	1.495095368584e-03	1.513620395407e-03	2.207916804129e-03	2.282766490429e-03	4.732672347788e-03	4.733110769121e-03	4.741095265234e-03	4.741702041607e-03	4.952407071087e-03	5.039684919414e-03	5.081931523368e-03	5.083286236879e-03	5.107691129069e-03	5.113954923590e-03	5.512518271727e-03	5.515494347656e-03	50.97707273	57.77426970	65.55091972	71.99471252	98.59063286	119.93909857	156.94787635	159.97814178	164.06775244	166.10063915	242.29086333	250.50466699	519.35075945	519.39887063	520.27506780	520.34165381	543.46385814	553.04149494	557.67752385	557.82618648	560.50431384	561.19168583	604.92895779	605.25554437
2.8034487635e+00	8.9236545682e-01	4.653330131200e-04	5.272383266686e-04	5.966077820883e-04	6.553349396124e-04	8.995736816311e-04	1.091880730607e-03	1.430618949200e-03	1.458180401960e-03	1.494755678329e-03	1.513331971083e-03	2.208388377854e-03	2.282378449932e-03	4.732675844609e-03	4.733108601366e-03	4.741100648596e-03	4.741700626873e-03	4.952883413126e-03	5.039164742081e-03	5.081938008506e-03	5.083277496172e-03	5.107727864944e-03	5.113920249983e-03	5.512558141792e-03	5.515496726787e-03	51.06439576	57.85771869	65.47013652	71.91469715	98.71680108	119.82006042	156.99228325	160.01680309	164.03047574	166.06898824	242.34261257	250.46208447	519.35114318	519.39863274	520.27565855	520.34149856	543.51613064	552.98441207	557.67823551	557.82522730	560.50834513	561.18788084	604.93333302	605.25580545
2.8073806692e+00	8.9361702128e-01	4.661282991922e-04	5.279985845837e-04	5.958713637456e-04	6.546056046953e-04	9.007230683803e-04	1.090795575350e-03	1.431023263425e-03	1.458532350398e-03	1.494415588250e-03	1.513043168042e-03	2.208859481026e-03	2.281989913710e-03	4.732679321559e-03	4.733106435597e-03	4.741106012639e-03	4.741699186715e-03	4.953360124555e-03	5.038644701981e-03	5.081944512644e-03	5.083268762506e-03	5.107764600565e-03	5.113885554907e-03	5.512597711340e-03	5.515498919002e-03	51.15166832	57.94114736	65.38932395	71.83466189	98.84293170	119.70097840	157.03665161	160.05542497	163.99315517	166.03729577	242.39431017	250.41944754	519.35152473	519.39839508	520.27624719	520.34134052	543.56844367	552.92734427	557.67894926	557.82426889	560.51237640	561.18407350	604.93767528	605.25604602
2.8113125749e+00	8.9486858573e-01	4.669231273110e-04	5.287586573495e-04	5.951346771659e-04	6.538760886208e-04	9.018721119408e-04	1.089710020489e-03	1.431427226159e-03	1.458883939362e-03	1.494075098625e-03	1.512753986387e-03	2.209330113508e-03	2.281600881919e-03	4.732682778813e-03	4.733104271727e-03	4.741111357309e-03	4.741697721149e-03	4.953837204014e-03	5.038124800507e-03	5.081951035713e-03	5.083260035953e-03	5.107801335726e-03	5.113850838463e-03	5.512636981006e-03	5.515500923631e-03	51.23889062	58.02455570	65.30848194	71.75460675	98.96902465	119.58185252	157.08098139	160.09400740	163.95579075	166.00556175	242.44595611	250.37675624	519.35190412	519.39815762	520.27683370	520.34117969	543.62079709	552.87029168	557.67966509	557.82331126	560.51640762	561.18026381	604.94198462	605.25626600
2.8152444806e+00	8.9612015019e-01	4.677174994476e-04	5.295185450907e-04	5.943977217639e-04	6.531463914327e-04	9.030208118067e-04	1.088624066226e-03	1.431830837119e-03	1.459235168731e-03	1.493734209732e-03	1.512464426222e-03	2.209800275166e-03	2.281211354714e-03	4.732686216548e-03	4.733102109668e-03	4.741116682550e-03	4.741696230189e-03	4.954314650145e-03	5.037605039047e-03	5.081957577646e-03	5.083251316580e-03	5.107838070228e-03	5.113816100753e-03	5.512675951426e-03	5.515502740005e-03	51.32606289	58.10794374	65.22761043	71.67453174	99.09507989	119.46268281	157.12527258	160.13255036	163.91838252	165.97378620	242.49755039	250.33401057	519.35228137	519.39792036	520.27741808	520.34101608	543.67319075	552.81325445	557.68038298	557.82235442	560.52043876	561.17645179	604.94626113	605.25646532
2.8191763863e+00	8.9737171464e-01	4.685114175570e-04	5.302782479304e-04	5.936604969504e-04	6.524165131741e-04	9.041691674747e-04	1.087537712765e-03	1.432234096023e-03	1.459586038385e-03	1.493392921849e-03	1.512174487653e-03	2.210269965865e-03	2.280821332249e-03	4.732689634937e-03	4.733099949331e-03	4.741121988308e-03	4.741694713854e-03	4.954792461589e-03	5.037085418988e-03	5.081964138375e-03	5.083242604457e-03	5.107874803873e-03	5.113781341879e-03	5.512714623236e-03	5.515504367453e-03	51.41318533	58.19131149	65.14670936	71.59443686	99.22109736	119.34346930	157.16952513	160.17105386	163.88093050	165.94196912	242.54909299	250.29121055	519.35265649	519.39768329	520.27800032	520.34084968	543.72562450	552.75623274	557.68110294	557.82139837	560.52446982	561.17263744	604.95050487	605.25664392
2.8231082920e+00	8.9862327910e-01	4.693048835785e-04	5.310377659900e-04	5.929230021325e-04	6.516864538876e-04	9.053171784442e-04	1.086450960311e-03	1.432637002587e-03	1.459936548204e-03	1.493051235256e-03	1.511884170783e-03	2.210739185468e-03	2.280430814680e-03	4.732693034156e-03	4.733097790628e-03	4.741127274529e-03	4.741693172157e-03	4.955270636989e-03	5.036565941714e-03	5.081970717830e-03	5.083233899653e-03	5.107911536466e-03	5.113746561943e-03	5.512752997074e-03	5.515505805304e-03	51.50025816	58.27465897	65.06577866	71.51432212	99.34707700	119.22421200	157.21373901	160.20951787	163.84343473	165.91011052	242.60058389	250.24835620	519.35302951	519.39744640	520.27858041	520.34068050	543.77809818	552.69922670	557.68182495	557.82044313	560.52850075	561.16882078	604.95471592	605.25680170
2.8270401977e+00	8.9987484355e-01	4.700978994357e-04	5.317970993888e-04	5.921852367133e-04	6.509562136154e-04	9.064648442174e-04	1.085363809068e-03	1.433039556530e-03	1.460286698068e-03	1.492709150232e-03	1.511593475717e-03	2.211207933841e-03	2.280039802161e-03	4.732696414377e-03	4.733095633470e-03	4.741132541158e-03	4.741691605117e-03	4.955749174986e-03	5.036046608606e-03	5.081977315944e-03	5.083225202239e-03	5.107948267815e-03	5.113711761046e-03	5.512791073576e-03	5.515507052889e-03	51.58728159	58.35798617	64.98481826	71.43418751	99.47301876	119.10491095	157.25791420	160.24794237	163.80589524	165.87821043	242.65202307	250.20544754	519.35340045	519.39720968	520.27915836	520.34050854	543.83061166	552.64223648	557.68254901	557.81948870	560.53253155	561.16500183	604.95889433	605.25693861
2.8309721034e+00	9.0112640801e-01	4.708904670366e-04	5.325562482447e-04	5.914472000920e-04	6.502257923991e-04	9.076121642994e-04	1.084276259245e-03	1.433441757567e-03	1.460636487858e-03	1.492366667053e-03	1.511302402560e-03	2.211676210846e-03	2.279648294847e-03	4.732699775774e-03	4.733093477768e-03	4.741137788141e-03	4.741690012749e-03	4.956228074223e-03	5.035527421043e-03	5.081983932648e-03	5.083216512284e-03	5.107984997731e-03	5.113676939292e-03	5.512828853380e-03	5.515508109536e-03	51.67425583	58.44129313	64.90382811	71.35403304	99.59892259	118.98556615	157.30205066	160.28632736	163.76831206	165.84626884	242.70341054	250.16248458	519.35376932	519.39697312	520.27973415	520.34033379	543.88316477	552.58526223	557.68327511	557.81853509	560.53656219	561.16118058	604.96304018	605.25705456
2.8349040091e+00	9.0237797247e-01	4.716825882738e-04	5.333152126736e-04	5.907088916640e-04	6.494951902797e-04	9.087591381976e-04	1.083188311049e-03	1.433843605416e-03	1.460985917453e-03	1.492023786001e-03	1.511010951416e-03	2.212144016349e-03	2.279256292893e-03	4.732703118517e-03	4.733091323433e-03	4.741143015426e-03	4.741688395071e-03	4.956707333343e-03	5.035008380403e-03	5.081990567874e-03	5.083207829856e-03	5.108021726029e-03	5.113642096781e-03	5.512866337124e-03	5.515508974575e-03	51.76118109	58.52457985	64.82280812	71.27385873	99.72478843	118.86617763	157.34614837	160.32467283	163.73068521	165.81428577	242.75474626	250.11946733	519.35413614	519.39673671	520.28030778	520.34015627	543.93575738	552.52830410	557.68400324	557.81758230	560.54059266	561.15735706	604.96715355	605.25714949
2.8388359148e+00	9.0362953692e-01	4.724742650246e-04	5.340739927901e-04	5.899703108207e-04	6.487644072980e-04	9.099057654226e-04	1.082099964690e-03	1.434245099794e-03	1.461334986733e-03	1.491680507353e-03	1.510719122389e-03	2.212611350213e-03	2.278863796453e-03	4.732706442779e-03	4.733089170373e-03	4.741148222959e-03	4.741686752099e-03	4.957186950987e-03	5.034489488060e-03	5.081997221553e-03	5.083199155027e-03	5.108058452524e-03	5.113607233617e-03	5.512903525448e-03	5.515509647337e-03	51.84805757	58.60784634	64.74175824	71.19366457	99.85061622	118.74674542	157.39020728	160.36297876	163.69301473	165.78226124	242.80603022	250.07639583	519.35450094	519.39650044	520.28087924	520.33997598	543.98838933	552.47136225	557.68473340	557.81663035	560.54462293	561.15353127	604.97123450	605.25722332
2.8427678205e+00	9.0488110138e-01	4.732654991513e-04	5.348325887066e-04	5.892314569495e-04	6.480334434938e-04	9.110520454874e-04	1.081011220377e-03	1.434646240418e-03	1.461683695579e-03	1.491336831390e-03	1.510426915586e-03	2.213078212302e-03	2.278470805681e-03	4.732709748731e-03	4.733087018499e-03	4.741153410685e-03	4.741685083852e-03	4.957666925798e-03	5.033970745388e-03	5.082003893617e-03	5.083190487864e-03	5.108095177037e-03	5.113572349901e-03	5.512940418989e-03	5.515510127149e-03	51.93488548	58.69109262	64.66067840	71.11345056	99.97640592	118.62726955	157.43422738	160.40124513	163.65530065	165.75019525	242.85726241	250.03327007	519.35486373	519.39626430	520.28144852	520.33979291	544.04106048	552.41443682	557.68546557	557.81567924	560.54865298	561.14970322	604.97528309	605.25727597
